,Title,Genre,Director,Actors,Plot
0,Jojo Rabbit,"Comedy, Drama, War            ",Taika Waititi,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson', 'Taika Waititi']",A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
1,Guns Akimbo,"Action, Comedy, Thriller            ",Jason Lei Howden,"['Samara Weaving', 'Daniel Radcliffe', 'Rhys Darby', 'Ned Dennehy']",A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.
2,Thor: Ragnarok,"Action, Adventure, Comedy            ",Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
3,Charlie's Angels,"Action, Adventure, Comedy            ",Elizabeth Banks,"['Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks']","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all."
4,The Truman Show,"Comedy, Drama, Sci-Fi            ",Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich']",An insurance salesman discovers his whole life is actually a reality TV show.
5,Airplane!,Comedy            ,Jim Abrahams,"['David Zucker', 'Jerry Zucker', 'Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Kareem Abdul-Jabbar']",A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
6,The Wrong Missy,"Comedy, Romance            ",Tyler Spindel,"['David Spade', 'Lauren Lapkus', 'Nick Swardson', 'Geoff Pierson']","Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date."
7,Bad Boys for Life,"Action, Comedy, Crime            ",Adil El Arbi,"['Bilall Fallah', 'Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig']",Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.
8,Ready or Not,"Comedy, Horror, Mystery            ",Matt Bettinelli-Olpin,"['Tyler Gillett', 'Samara Weaving', 'Adam Brody', ""Mark O'Brien"", 'Henry Czerny']",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.
9,Hustlers,"Comedy, Crime, Drama            ",Lorene Scafaria,"['Constance Wu', 'Jennifer Lopez', 'Julia Stiles', 'Mette Towley']","Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients."
10,Spaceballs,"Adventure, Comedy, Sci-Fi            ",Mel Brooks,"['Mel Brooks', 'John Candy', 'Rick Moranis', 'Bill Pullman']",A star pilot and his sidekick must come to the rescue of a Princess and save the galaxy from a ruthless race of beings known as Spaceballs.
11,Clueless,"Comedy, Romance            ",Amy Heckerling,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd']","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
12,Onward,"Animation, Adventure, Comedy            ",Dan Scanlon,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']",Two elven brothers embark on a quest to bring their father back for one day.
13,The Mighty Ducks,"Comedy, Drama, Family            ",Stephen Herek,"['Emilio Estevez', 'Joss Ackland', 'Lane Smith', 'Heidi Kling']",A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.
14,The Big Lebowski,"Comedy, Crime, Sport            ",Joel Coen,"['Ethan Coen', 'Jeff Bridges', 'John Goodman', 'Julianne Moore', 'Steve Buscemi']","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
15,I Now Pronounce You Chuck & Larry,"Comedy, Romance            ",Dennis Dugan,"['Adam Sandler', 'Kevin James', 'Jessica Biel', 'Dan Aykroyd']","Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits."
16,A Simple Favor,"Comedy, Crime, Drama            ",Paul Feig,"['Anna Kendrick', 'Blake Lively', 'Henry Golding', 'Andrew Rannells']","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate."
17,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy            ",Jake Kasdan,"['Dwayne Johnson', 'Karen Gillan', 'Kevin Hart', 'Jack Black']","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
18,Scott Pilgrim vs. the World,"Action, Comedy, Fantasy            ",Edgar Wright,"['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin', 'Anna Kendrick']",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.
19,Crazy Rich Asians,"Comedy, Drama, Romance            ",Jon M. Chu,"['Constance Wu', 'Henry Golding', 'Michelle Yeoh', 'Gemma Chan']","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family."
20,Almost Famous,"Adventure, Comedy, Drama            ",Cameron Crowe,"['Billy Crudup', 'Patrick Fugit', 'Kate Hudson', 'Frances McDormand']",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
21,The Mask,"Action, Comedy, Crime            ",Chuck Russell,"['Jim Carrey', 'Cameron Diaz', 'Peter Riegert', 'Peter Greene']",Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.
22,Frozen,"Animation, Adventure, Comedy            ",Chris Buck,"['Jennifer Lee', 'Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad']","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
23,Sonic the Hedgehog,"Action, Adventure, Comedy            ",Jeff Fowler,"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter']","After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him."
24,Guardians of the Galaxy,"Action, Adventure, Comedy            ",James Gunn,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
25,The Goonies,"Adventure, Comedy, Family            ",Richard Donner,"['Sean Astin', 'Josh Brolin', 'Jeff Cohen', 'Corey Feldman']",A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
26,Ferris Bueller's Day Off,Comedy            ,John Hughes,"['Matthew Broderick', 'Alan Ruck', 'Mia Sara', 'Jeffrey Jones']","A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
27,The 40 Year Old Virgin,"Comedy, Romance            ",Judd Apatow,"['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco']","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
28,Emma.,"Comedy, Drama            ",Autumn de Wilde,"['Anya Taylor-Joy', 'Johnny Flynn', 'Mia Goth', 'Angus Imrie']","In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends."
29,Ocean's Eight,"Action, Comedy, Crime            ",Gary Ross,"['Sandra Bullock', 'Cate Blanchett', 'Anne Hathaway', 'Mindy Kaling']",Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.
30,Vacation,"Adventure, Comedy            ",John Francis Daley,"['Jonathan Goldstein', 'Ed Helms', 'Christina Applegate', 'Skyler Gisondo', 'Steele Stebbins']","Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons."
31,Back to the Future Part II,"Adventure, Comedy, Sci-Fi            ",Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Thomas F. Wilson']","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
32,Mean Girls,Comedy            ,Mark Waters,"['Lindsay Lohan', 'Jonathan Bennett', 'Rachel McAdams', 'Tina Fey']","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
33,Mary Poppins Returns,"Comedy, Family, Fantasy            ",Rob Marshall,"['Emily Blunt', 'Lin-Manuel Miranda', 'Ben Whishaw', 'Emily Mortimer']","A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives."
34,Dolittle,"Adventure, Comedy, Family            ",Stephen Gaghan,"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Jim Broadbent']",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.
35,Hot Fuzz,"Action, Comedy, Mystery            ",Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Martin Freeman', 'Bill Nighy']",A skilled London police officer is transferred to a small town with a dark secret.
36,The Breakfast Club,"Comedy, Drama            ",John Hughes,"['Emilio Estevez', 'Judd Nelson', 'Molly Ringwald', 'Ally Sheedy']",Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.
37,Baywatch,"Action, Comedy, Crime            ",Seth Gordon,"['Dwayne Johnson', 'Zac Efron', 'Alexandra Daddario', 'Priyanka Chopra']","Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
38,Mamma Mia! Here We Go Again,"Comedy, Musical, Romance            ",Ol Parker,"['Lily James', 'Amanda Seyfried', 'Meryl Streep', 'Cher']","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
39,Charlie and the Chocolate Factory,"Adventure, Comedy, Family            ",Tim Burton,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter']","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
40,6 Underground,"Action, Comedy, Thriller            ",Michael Bay,"['Ryan Reynolds', 'Mélanie Laurent', 'Manuel Garcia-Rulfo', 'Ben Hardy']","Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future."
41,Sleepless in Seattle,"Comedy, Drama, Romance            ",Nora Ephron,"['Tom Hanks', 'Meg Ryan', 'Ross Malinger', 'Rita Wilson']",A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
42,Yesterday,"Comedy, Fantasy, Music            ",Danny Boyle,"['Himesh Patel', 'Lily James', 'Sophia Di Martino', 'Ellise Chappell']",A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.
