,Title,Genre,Director,Actors,Plot
0,Ad Astra,"Adventure, Drama, Mystery            ",James Gray,"['Brad Pitt', 'Tommy Lee Jones', 'Ruth Negga', 'Donald Sutherland']","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe."
1,Hereditary,"Drama, Horror, Mystery            ",Ari Aster,"['Toni Collette', 'Milly Shapiro', 'Gabriel Byrne', 'Alex Wolff']",A grieving family is haunted by tragic and disturbing occurrences.
2,The Firm,"Drama, Mystery, Thriller            ",Sydney Pollack,"['Tom Cruise', 'Jeanne Tripplehorn', 'Gene Hackman', 'Hal Holbrook']",A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
3,Ready or Not,"Comedy, Horror, Mystery            ",Matt Bettinelli-Olpin,"['Tyler Gillett', 'Samara Weaving', 'Adam Brody', ""Mark O'Brien"", 'Henry Czerny']",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.
4,Double Jeopardy,"Crime, Drama, Mystery            ",Bruce Beresford,"['Ashley Judd', 'Tommy Lee Jones', 'Bruce Greenwood', 'Benjamin Weir']","A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him."
5,The Vast of Night,"Drama, Mystery, Sci-Fi            ",Andrew Patterson,"['Sierra McCormick', 'Jake Horowitz', 'Gail Cronauer', 'Bruce Davis']","In the twilight of the 1950s, on one fateful night in New Mexico, young switchboard operator Fay and charismatic radio DJ Everett discover a strange audio frequency that could change their small town and the future forever."
6,A Simple Favor,"Comedy, Crime, Drama            ",Paul Feig,"['Anna Kendrick', 'Blake Lively', 'Henry Golding', 'Andrew Rannells']","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate."
7,The Lighthouse,"Drama, Fantasy, Horror            ",Robert Eggers,"['Robert Pattinson', 'Willem Dafoe', 'Valeriia Karaman', 'Logan Hawkes']",Two lighthouse keepers try to maintain their sanity whilst living on a remote and mysterious New England island in the 1890s.
8,The Prestige,"Drama, Mystery, Sci-Fi            ",Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
9,The Hateful Eight,"Crime, Drama, Mystery            ",Quentin Tarantino,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins']","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
10,Watchmen,"Action, Drama, Mystery            ",Zack Snyder,"['Jackie Earle Haley', 'Patrick Wilson', 'Carla Gugino', 'Malin Akerman']","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
11,Blade Runner 2049,"Action, Drama, Mystery            ",Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
12,The Beach House,"Drama, Horror, Mystery            ",Jeffrey A. Brown,"['Liana Liberato', 'Noah Le Gros', 'Jake Weber', 'Maryann Nagel']",A romantic getaway for two troubled college sweethearts turns into a struggle for survival when unexpected guests - and the surrounding environment - exhibit signs of a mysterious infection.
13,Gone Girl,"Drama, Mystery, Thriller            ",David Fincher,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
14,Se7en,"Crime, Drama, Mystery            ",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
15,Fantasy Island,"Adventure, Fantasy, Horror            ",Jeff Wadlow,"['Michael Peña', 'Maggie Q', 'Lucy Hale', 'Austin Stowell']","When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends."
16,Apocalypse Now,"Drama, Mystery, War            ",Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
17,Freaks,"Drama, Mystery, Sci-Fi            ",Zach Lipovsky,"['Adam B. Stein', 'Emile Hirsch', 'Bruce Dern', 'Grace Park', 'Amanda Crew']","A bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control."
18,Cloud Atlas,"Action, Drama, Mystery            ",Tom Tykwer,"['Lana Wachowski', 'Lilly Wachowski', 'Tom Hanks', 'Halle Berry', 'Hugh Grant', 'Hugo Weaving']","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
19,Hot Fuzz,"Action, Comedy, Mystery            ",Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Martin Freeman', 'Bill Nighy']",A skilled London police officer is transferred to a small town with a dark secret.
