,Title,Genre,Director,Actors,Plot
0,Call Me by Your Name,"Drama, Romance            ",Luca Guadagnino,"['Armie Hammer', 'Timothée Chalamet', 'Michael Stuhlbarg', 'Amira Casar']","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
1,Aladdin,"Adventure, Family, Fantasy            ",Guy Ritchie,"['Will Smith', 'Mena Massoud', 'Naomi Scott', 'Marwan Kenzari']",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
2,The Princess Bride,"Adventure, Family, Fantasy            ",Rob Reiner,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright', 'Chris Sarandon']","While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
3,The 40 Year Old Virgin,"Comedy, Romance            ",Judd Apatow,"['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco']","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
4,After,"Drama, Romance            ",Jenny Gage,"['Josephine Langford', 'Hero Fiennes Tiffin', 'Khadijha Red Thunder', 'Dylan Arnold']",A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.
5,Grease,"Musical, Romance            ",Randal Kleiser,"['John Travolta', 'Olivia Newton-John', 'Stockard Channing', 'Jeff Conaway']","Good girl Sandy Olsson (Olivia Newton-John) and greaser Danny Zuko (John Travolta) fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
6,Portrait de la jeune fille en feu,"Drama, Romance            ",Céline Sciamma,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
7,The Shape of Water,"Adventure, Drama, Fantasy            ",Guillermo del Toro,"['Sally Hawkins', 'Octavia Spencer', 'Michael Shannon', 'Doug Jones']","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
8,Fifty Shades of Grey,"Drama, Romance, Thriller            ",Sam Taylor-Johnson,"['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle', 'Eloise Mumford']","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
9,Mamma Mia! Here We Go Again,"Comedy, Musical, Romance            ",Ol Parker,"['Lily James', 'Amanda Seyfried', 'Meryl Streep', 'Cher']","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
10,Sleepless in Seattle,"Comedy, Drama, Romance            ",Nora Ephron,"['Tom Hanks', 'Meg Ryan', 'Ross Malinger', 'Rita Wilson']",A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
11,A Star Is Born,"Drama, Music, Romance            ",Bradley Cooper,"['Lady Gaga', 'Bradley Cooper', 'Sam Elliott', 'Greg Grunberg']",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
12,Yesterday,"Comedy, Fantasy, Music            ",Danny Boyle,"['Himesh Patel', 'Lily James', 'Sophia Di Martino', 'Ellise Chappell']",A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.
13,La La Land,"Comedy, Drama, Music            ",Damien Chazelle,"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
14,Stardust,"Adventure, Family, Fantasy            ",Matthew Vaughn,"['Charlie Cox', 'Claire Danes', 'Sienna Miller', 'Ian McKellen']","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
15,Midnight in Paris,"Comedy, Fantasy, Romance            ",Woody Allen,"['Owen Wilson', 'Rachel McAdams', 'Kathy Bates', 'Kurt Fuller']","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
16,Radioactive,"Biography, Drama, Romance            ",Marjane Satrapi,"['Rosamund Pike', 'Yvette Feuer', 'Mirjam Novak', 'Ralph Berkin']","Pioneer - Rebel - Genius. Radioactive is incredible, true-story of Marie Curie and her Nobel Prize-winning work that changed the world starring Rosamund Pike and Sam Riley."
17,The Night Clerk,"Crime, Drama, Mystery            ",Michael Cristofer,"['Tye Sheridan', 'Ana de Armas', 'Helen Hunt', 'John Leguizamo']",Voyeuristic hotel clerk becomes the subject of a murder investigation.
18,The Holiday,"Comedy, Romance            ",Nancy Meyers,"['Kate Winslet', 'Cameron Diaz', 'Jude Law', 'Jack Black']","Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
